Nombre de Proyecto/Programa,Agencia financiera,Contador de proyectos,1999,1999_2,2000,2000_2,2001,2001_2,2002,2002_2,2003,2003_2,2004,2004_2,2005,2005_2,2006,2006_2,2007,2007_2,2008,2008_2,2009,2009_2,2010,2010_2,2011,2011_2,2012,2012_2,2013,2013_2,2014,2014_2,Total,Total_2
,,,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales
  Apoyo a la Infraestructura Social Básica en el Municipio de Jutiapa Fase II,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,340470.0,328675.0,,,,11795.0,,,,,340470.0,340470.0
"  Apoyo a la ejecución de la política de la mujer en su eje de participación social y política, Fase II.",Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,397735.0,397735.0,,,,-135433.0,,,,,,,397735.0,262302.0
  Política nacional de la mujer en su eje de participación social y política,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,495801.0,493115.0,,,,-316983.0,,,,,,,,,,,495801.0,176132.0
  Promisión de la Equidad de Género y Diversidad en el Cartera de Proyectos,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,80000.0,49410.0,,,,23670.0,,6920.0,,,,,,,80000.0,80000.0
  UNFPA (Ejecución Directa),Fondo de Población de las Naciones Unidas,0,,,,,,,,,,,,,,,,,,,,,,,,,61304.7,61304.7,,,,,,,61304.7,61304.7
  Salud: Atención Salud Materno Infantil de Calidad,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,34678.43,34678.43,,,,,,,34678.43,34678.429
  EPRP- Emergencia,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,62021.04,62021.04,,,,,,,62021.04,62021.04
  SISNAM,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,27052.51,27052.51,,,,,,,27052.51,27052.51
  Supervivencia y Desarrollo Infantil,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,161500.0,161500.0,,,,,,,161500.0,161500.0
  Reforma Legal,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,20000.0,,,,,,,20000.0,20000.0
  Estrategia de la expansion de servicios de alfabetizacion y educacion adolescentes,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,14412.0,14412.0,,,,,,,14412.0,14412.0
  Desarrollo Infantil Temprano,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,240000.0,240000.0,,,,,,,,,240000.0,240000.0
  Estrategia de inclusión de la niñez excluida,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,25000.0,25000.0,,,,,,,,,25000.0,25000.0
  Participación Infantil y Movilización Social,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,570497.9,570497.9,,,,,,,,,570497.9,570497.9
  Gestión Local,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,21000.0,21000.0,,,,,,,21000.0,21000.0
  Educación Pre básica y básica de Calidad,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,697926.16,697926.16,,,,,,,,,697926.16,697926.159
  Apoyo al Proyecto: Educación e Igualdad entre los Géneros,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,96800.0,96800.0,,,,,,,96800.0,96800.0
"  Apoyo al Proyecto: Inversión Social,Políticas Públicas y Alianzas",Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,82137.0,82137.0,,,,,,,82137.0,82137.0
  Atención Integral a la Niñez Huerfana y vulnerable,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,24000.0,24000.0,,,,,,,,,24000.0,24000.0
  Observatorio de Derechos de la Niñez,Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,197679.05,197679.049,,,,,,,197679.05,197679.05
  Aprendiendo a Educar a Niños/as pequeños de Honduras [2012],Banco Bilbao Vizcaya Argentaria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39057.0,39057.0,,,,,39057.0,39057.0
  Diplomado en Educación Inicial [2011],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,,,39473.7,39473.7,,,,,,,39473.7,39473.7
  Educación Inicial en Honduras [2012],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,51933.124,51933.124,,,,,51933.124,51933.124
